"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1980,480
"ALBANIA",1980,1410
"ALGERIA",1980,18140
"ANGOLA",1980,1458
"ANTIGUA & BARBUDA",1980,39
"ARGENTINA",1980,29653
"AUSTRALIA",1980,60198
"AUSTRIA",1980,14264
"BAHAMAS",1980,2179
"BAHRAIN",1980,2151
"BANGLADESH",1980,2083
"BARBADOS",1980,184
"BELGIUM",1980,36897
"BELIZE",1980,52
"BENIN",1980,141
"BERMUDA",1980,119
"BHUTAN",1980,6
"BOTSWANA",1980,269
"BRAZIL",1980,51020
"BRITISH VIRGIN ISLANDS",1980,8
"BRUNEI (DARUSSALAM)",1980,1877
"BULGARIA",1980,21131
"BURKINA FASO",1980,118
"BURUNDI",1980,40
"CAMBODIA",1980,78
"CANADA",1980,120871
"CAPE VERDE",1980,33
"CAYMAN ISLANDS",1980,44
"CENTRAL AFRICAN REPUBLIC",1980,29
"CHAD",1980,57
"CHILE",1980,6890
"CHINA (MAINLAND)",1980,400107
"CHRISTMAS ISLAND",1980,27
"COLOMBIA",1980,12096
"COMOROS",1980,13
"CONGO",1980,111
"COOK ISLANDS",1980,8
"COSTA RICA",1980,672
"COTE D IVOIRE",1980,1697
"CUBA",1980,8563
"CYPRUS",1980,875
"CZECHOSLOVAKIA",1980,66706
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1980,31208
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1980,955
"DENMARK",1980,16463
"DJIBOUTI",1980,95
"DOMINICA",1980,10
"DOMINICAN REPUBLIC",1980,1761
"ECUADOR",1980,3666
"EGYPT",1980,12337
"EL SALVADOR",1980,582
"EQUATORIAL GUINEA",1980,16
"ETHIOPIA",1980,497
"FAEROE ISLANDS",1980,115
"FALKLAND ISLANDS (MALVINAS)",1980,4
"FEDERAL REPUBLIC OF GERMANY",1980,214599
"FIJI",1980,217
"FINLAND",1980,15884
"FORMER DEMOCRATIC YEMEN",1980,579
"FORMER GERMAN DEMOCRATIC REPUBLIC",1980,86252
"FORMER YEMEN",1980,326
"FRANCE (INCLUDING MONACO)",1980,137814
"FRENCH GUIANA",1980,102
"FRENCH POLYNESIA",1980,80
"GABON",1980,1809
"GAMBIA",1980,43
"GHANA",1980,698
"GIBRALTAR",1980,24
"GREECE",1980,14025
"GREENLAND",1980,154
"GRENADA",1980,13
"GUADELOUPE",1980,171
"GUATEMALA",1980,1230
"GUINEA",1980,263
"GUINEA BISSAU",1980,40
"GUYANA",1980,488
"HAITI",1980,205
"HONDURAS",1980,561
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1980,4544
"HUNGARY",1980,23687
"ICELAND",1980,509
"INDIA",1980,85633
"INDONESIA",1980,25848
"IRAQ",1980,12424
"IRELAND",1980,7160
"ISLAMIC REPUBLIC OF IRAN",1980,32970
"ISRAEL",1980,5767
"ITALY (INCLUDING SAN MARINO)",1980,106073
"JAMAICA",1980,2305
"JAPAN",1980,258405
"JORDAN",1980,1289
"KENYA",1980,1690
"KIRIBATI",1980,8
"KUWAIT",1980,6729
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1980,51
"LEBANON",1980,1685
"LIBERIA",1980,557
"LIBYAN ARAB JAMAHIRIYAH",1980,7337
"LUXEMBOURG",1980,3007
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1980,144
"MADAGASCAR",1980,441
"MALAWI",1980,194
"MALAYSIA",1980,7635
"MALDIVES",1980,12
"MALI",1980,107
"MALTA",1980,279
"MARTINIQUE",1980,213
"MAURITANIA",1980,172
"MAURITIUS",1980,161
"MEXICO",1980,73208
"MONGOLIA",1980,1876
"MONTSERRAT",1980,4
"MOROCCO",1980,4348
"MOZAMBIQUE",1980,875
"MYANMAR (FORMERLY BURMA)",1980,1507
"NAURU",1980,34
"NEPAL",1980,148
"NETHERLAND ANTILLES AND ARUBA",1980,2863
"NETHERLANDS",1980,48407
"NEW CALEDONIA",1980,546
"NEW ZEALAND",1980,4761
"NICARAGUA",1980,553
"NIGER",1980,156
"NIGERIA",1980,18586
"NIUE",1980,1
"NORWAY",1980,10377
"OMAN",1980,1649
"PACIFIC ISLANDS (PALAU)",1980,43
"PAKISTAN",1980,8745
"PANAMA",1980,852
"PAPUA NEW GUINEA",1980,499
"PARAGUAY",1980,407
"PERU",1980,6578
"PHILIPPINES",1980,10090
"PLURINATIONAL STATE OF BOLIVIA",1980,1273
"POLAND",1980,126691
"PORTUGAL",1980,7359
"QATAR",1980,3572
"REPUBLIC OF CAMEROON",1980,1065
"REPUBLIC OF KOREA",1980,36779
"REUNION",1980,222
"ROMANIA",1980,53618
"RWANDA",1980,135
"SAINT LUCIA",1980,31
"SAMOA",1980,27
"SAO TOME & PRINCIPE",1980,11
"SAUDI ARABIA",1980,46197
"SENEGAL",1980,914
"SEYCHELLES",1980,26
"SIERRA LEONE",1980,166
"SINGAPORE",1980,8572
"SOLOMON ISLANDS",1980,28
"SOMALIA",1980,222
"SOUTH AFRICA",1980,62300
"SPAIN",1980,58632
"SRI LANKA",1980,930
"ST. KITTS-NEVIS-ANGUILLA",1980,14
"ST. PIERRE & MIQUELON",1980,10
"ST. VINCENT & THE GRENADINES",1980,10
"SUDAN",1980,1022
"SURINAME",1980,647
"SWAZILAND",1980,127
"SWEDEN",1980,19569
"SWITZERLAND",1980,11055
"SYRIAN ARAB REPUBLIC",1980,5673
"TAIWAN",1980,22812
"THAILAND",1980,10945
"TOGO",1980,196
"TONGA",1980,11
"TRINIDAD AND TOBAGO",1980,4619
"TUNISIA",1980,2589
"TURKEY",1980,20661
"UGANDA",1980,171
"UNITED ARAB EMIRATES",1980,10064
"UNITED KINGDOM",1980,157974
"UNITED REPUBLIC OF TANZANIA",1980,514
"UNITED STATES OF AMERICA",1980,1288031
"URUGUAY",1980,1592
"USSR",1980,952009
"VANUATU",1980,17
"VENEZUELA",1980,24762
"VIET NAM",1980,4587
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1980,29307
"ZAMBIA",1980,963
"ZIMBABWE",1980,2628
