"iso","treecover_loss__ha","treecover_loss__year"
"AFG",87.7284528063036,2010
"AGO",159806.091260325,2010
"AIA",0.439017861485435,2010
"ALA",633.740282763969,2010
"ALB",655.793343785226,2010
"AND",1.08372213858096,2010
"ARG",413230.82240712,2010
"ARM",162.172624326063,2010
"ATF",6.33406908908439,2010
"ATG",19.1364780119649,2010
"AUS",290725.840621884,2010
"AUT",16712.8637813366,2010
"AZE",549.600088443787,2010
"BDI",1904.66468683028,2010
"BEL",10909.021265678,2010
"BEN",529.238836214966,2010
"BES",2.42248729275953,2010
"BFA",6.95726103863344,2010
"BGD",4667.80214300986,2010
"BGR",3569.08975965057,2010
"BHS",400.643992779144,2010
"BIH",910.637705660716,2010
"BLM",0.293202837250417,2010
"BLR",35754.0972881062,2010
"BLZ",9765.90980992959,2010
"BMU",0.91410748057829,2010
"BOL",451759.17434688,2010
"BRA",2688896.17626602,2010
"BRB",17.4619844928848,2010
"BRN",966.98652007072,2010
"BTN",4353.62165379887,2010
"BWA",30.4998423231932,2010
"CAF",48554.3007119028,2010
"CAN",2104876.43493431,2010
"CHE",1737.9454622245,2010
"CHL",91495.543456997,2010
"CHN",627825.880239931,2010
"CIV",92491.8575697589,2010
"CMR",57991.8669829846,2010
"COD",810712.388681357,2010
"COG",44665.2334045697,2010
"COL",197067.421264572,2010
"COM",92.2999824594306,2010
"CPV",0.892166425690659,2010
"CRI",13145.267091085,2010
"CUB",8608.08925523737,2010
"CUW",1.72985127523428,2010
"CYM",39.7933677225335,2010
"CYP",63.9548070152209,2010
"CZE",15441.6352474049,2010
"DEU",75677.9961078966,2010
"DMA",92.1203673105992,2010
"DNK",4427.72389703141,2010
"DOM",14102.6757877824,2010
"DZA",2605.62381650646,2010
"ECU",33772.3454515715,2010
"EGY",98.182305884794,2010
"ESP",56093.4221502184,2010
"EST",21496.3788421976,2010
"ETH",20184.1565178032,2010
"FIN",167507.279172053,2010
"FJI",2346.76431816623,2010
"FRA",143265.209643294,2010
"FSM",76.6623375244575,2010
"GAB",10674.1838577819,2010
"GBR",28469.2258970184,2010
"GEO",818.591827354654,2010
"GGY",0.151174032148429,2010
"GHA",19500.0036743985,2010
"GIN",16045.5898695299,2010
"GLP",127.385896946088,2010
"GMB",23.8272627359228,2010
"GNB",4900.40665550551,2010
"GNQ",6592.9424589604,2010
"GRC",7785.29902006908,2010
"GRD",159.556071428212,2010
"GTM",59668.3739437254,2010
"GUF",3205.63508830747,2010
"GUY",10098.8859115379,2010
"HKG",12.8991444748964,2010
"HND",46085.2551317353,2010
"HRV",3499.24826148074,2010
"HTI",2084.3611770956,2010
"HUN",11255.4878597725,2010
"IDN",1279331.97455083,2010
"IMN",49.9563964235996,2010
"IND",51317.106318437,2010
"IRL",3854.67875140517,2010
"IRN",195.790067607844,2010
"IRQ",13.4154411188769,2010
"ISR",89.079576049232,2010
"ITA",15806.3768230761,2010
"JAM",2364.94806675067,2010
"JEY",7.34042235524915,2010
"JOR",0.0653063920865848,2010
"JPN",35745.3247265405,2010
"KAZ",3108.91585636611,2010
"KEN",22693.0100618253,2010
"KGZ",260.973815786133,2010
"KHM",237881.913347889,2010
"KNA",18.5384119099574,2010
"KOR",14425.1515236105,2010
"LAO",167107.999751391,2010
"LBN",115.180640203054,2010
"LBR",20357.6658321266,2010
"LBY",9.41428543328191,2010
"LCA",99.8420126766472,2010
"LIE",2.79192138334904,2010
"LKA",7230.75619898319,2010
"LSO",3.77271354007922,2010
"LTU",21666.890434322,2010
"LUX",880.435255721398,2010
"LVA",48507.1099824611,2010
"MAC",0.57116688867309,2010
"MAF",0.51261701514971,2010
"MAR",988.077066979142,2010
"MDA",176.751139042595,2010
"MDG",107218.891583432,2010
"MDV",3.1357261456614,2010
"MEX",166728.913483729,2010
"MKD",2223.21505560748,2010
"MLI",53.8905614889873,2010
"MLT",0.626002233333298,2010
"MMR",169913.275168675,2010
"MNE",210.939333957418,2010
"MNG",8764.40387290376,2010
"MOZ",194545.385678427,2010
"MSR",109.302040991905,2010
"MTQ",75.3667135743253,2010
"MUS",23.2674688370839,2010
"MWI",3981.95554303325,2010
"MYS",430607.47900891,2010
"MYT",31.9051295120337,2010
"NAM",26.9655664848689,2010
"NCL",550.421642236511,2010
"NGA",32782.0642432144,2010
"NIC",212519.589205375,2010
"NLD",3403.3420560029,2010
"NOR",40128.9105969672,2010
"NPL",2347.69860064397,2010
"NZL",56121.8742767925,2010
"PAK",720.220858209273,2010
"PAN",15402.5059341538,2010
"PER",142324.142246103,2010
"PHL",102649.432315585,2010
"PLW",32.7296126383093,2010
"PNG",68761.2714665256,2010
"POL",71835.1745529776,2010
"PRI",595.27982619763,2010
"PRK",19020.6197307171,2010
"PRT",48401.1528359182,2010
"PRY",442300.414401278,2010
"PSE",1.310659811784,2010
"REU",223.366945342142,2010
"ROU",17781.7648709241,2010
"RUS",1859545.07253201,2010
"RWA",2449.76849725163,2010
"SDN",41.8387576475393,2010
"SEN",153.825393247226,2010
"SGP",43.9925968665546,2010
"SLB",6418.01787203086,2010
"SLE",8782.21451403805,2010
"SLV",2873.01771746149,2010
"SOM",139.646429204855,2010
"SRB",2461.86868524779,2010
"SSD",3879.41041129476,2010
"SUR",7000.3974152904,2010
"SVK",17103.917573666,2010
"SVN",1433.95135342047,2010
"SWE",263646.420904534,2010
"SWZ",6660.33948273828,2010
"SXM",0.219730671323772,2010
"SYR",240.532966553507,2010
"TCA",38.4186888047091,2010
"TCD",254.652473862445,2010
"TGO",514.105134382653,2010
"THA",134984.309304083,2010
"TJK",10.8578896482273,2010
"TKM",8.87322163565125,2010
"TLS",649.010716876912,2010
"TTO",3406.83339102151,2010
"TUN",398.039719157247,2010
"TUR",17007.9651433214,2010
"TWN",2459.82198896232,2010
"TZA",138486.410516337,2010
"UGA",34149.4189336601,2010
"UKR",52441.0551513813,2010
"URY",17826.2689407329,2010
"USA",2167662.18831333,2010
"UZB",31.9242427934784,2010
"VCT",65.7919418681747,2010
"VEN",101285.582103029,2010
"VGB",3.94622511638649,2010
"VIR",21.3449541141252,2010
"VNM",174256.193881768,2010
"VUT",307.628911653678,2010
"XAD",0.127113335286451,2010
"XCA",21.9228294525709,2010
"XKO",468.277228589384,2010
"XNC",9.77342331237187,2010
"ZAF",61758.7512704816,2010
"ZMB",173983.632295963,2010
"ZWE",6635.29841011679,2010
